사업장번호,사업장명
1602260096,대한철강(주)
1602240028,홍덕산업(주)포항스틸코드공장
1602260094,디와이파워 주식회사
1602260105,(주)동원에프앤비아산공장
1602260101,(주)세아베스틸
1602250053,한일물산(주)
1602260113,신창부영1차아파트
1602240029,홍덕산업(주)포항실크와이어공장
1602260111,대림자동차공업(주)
1602230002,홍덕산업(주)거창스틸코드2공장
1602250179,롯데하이마트(주) 통영점
1602260014,센트럴아파트입주자대표회의
1602260045,(주)퍼시스(충주)
1602260046,오비즈타워관리단협의회
1602250178,롯데하이마트(주) 진주성점
1602260047,한국키스톤발부유한회사
1602250177,롯데하이마트(주) 상남점
1602250176,롯데하이마트(주) 진해점
1602260052,(주)대명
1602250175,롯데하이마트(주) 명곡로터리점
1602250174,롯데하이마트(주) 사천점
1602260055,신동백롯데캐슬에코1단지입주자대표회의
1602250172,롯데하이마트(주) 효문점
1602250170,롯데하이마트(주) 밀양점
1602250169,롯데하이마트(주) 언양점
1602260065,해태제과식품(주)광주
1602250168,롯데하이마트(주) 영주서천점
1602250167,롯데하이마트(주) 화원점
1602250166,롯데하이마트(주) 성서점
1602260066,해태제과식품(주)대구
1602250164,롯데하이마트(주) 서면점
1602250163,롯데하이마트(주) 해운대점
1602260110,효성주얼리시티 관리단
1602250161,롯데하이마트(주) 들안길네거리점
1602250160,롯데하이마트(주) 대잠점
1602260117,(주)유성실리카
1602250159,롯데하이마트(주) 경산점
1602250158,롯데하이마트(주) 칠곡점
1602260118,단암산업(주)
1602260077,한서정밀계기(주)
1602250157,롯데하이마트(주) 김해내동점
1602250155,롯데하이마트(주) 동김해점
1602260116,한남동현대하이페리온A
1602260079,경원여객(주)오이도사업소
1602250154,롯데하이마트(주) 청주터미널점
1602250153,롯데하이마트(주) 충주연수점
1602250152,롯데하이마트(주) 탄금점
1602260084,주식회사영풍석포제련소
1602250151,롯데하이마트(주) 부여점
1602250149,롯데하이마트(주) 서곡점
1602250148,롯데하이마트(주) 효자점
1602260124,성진정밀
1602260099,신동백롯데캐슬에코2단지입주자대표회의
1602250147,롯데하이마트(주) 여수점
1602250146,롯데하이마트(주) 광산점
1602260107,기한물류(주)
1602250145,롯데하이마트(주) 조례점
1602250144,롯데하이마트(주) 하당점
1602250142,롯데하이마트(주) 봉선점
1602250141,롯데하이마트(주) 상무점
1602250140,롯데하이마트(주) 용봉점
1602260104,성우금속
1602250139,롯데하이마트(주) 부천점
1602260127,강동롯데캐슬퍼스트아파트
1602250137,롯데하이마트(주) 오정점
1602260054,부천소사SK뷰아파트입주자대표회의
1602250135,롯데하이마트(주) 홍천점
1602250134,롯데하이마트(주) 단구점
1602260108,예은산업
1602250132,롯데하이마트(주) 단계점
1602250131,롯데하이마트(주) 교동점
1602250130,롯데하이마트(주) 여주점
1602250129,롯데하이마트(주) 동해점
1602250127,롯데하이마트(주) 속초점
1602250126,롯데하이마트(주) 춘천점
1602250121,롯데하이마트(주) 증포점
1602260020,(주)케이티에스테이트-대전연수원
