사업번호,사전계측용량(kW)
201602260312-2,0.90 
201602260313 ,0.48 
201602260314 ,0.48 
201602260315 ,0.860 
201602260316-1,1.50 
201602260316-2,1.50 
201602260317 ,0.72 
201602260320 ,1.044 
201602260321 ,0.651 
201602260322 ,1.026
201602260323 ,0.558
201602260324 ,0.79
201602260325 ,0.496 
201602260329 ,0.4424
201602260330 ,0.864
201602260331-1,0.40 
201602260331-2,0.40 
201602260332 ,0.75 
201602260333 ,1.20 
201602260334-1,0.8
201602260334-2,0.64
201602260335-1,0.43 
201602260335-2,0.34 
201602260336 ,2.8
201602240074 ,25.25 
201602240076 ,19.64 
201602240073 ,17.33 
201602240068 ,21.95 
201602240080 ,23.76 
201602240077 ,18.32 
201602240079 ,24.09 
201602240067 ,20.95 
201602240043 ,22.94 
201602240071 ,10.86 
201602240045-1,7.26 
201602240045-2,10.73 
201602240045-3,10.23 
201602260155 ,1.92 
201602260150-1,2.40 
201602260150-2,2.88 
201602260104 ,10.36 
201602240020 ,9.60 
201602250016 ,2.80 
201602260159 ,8.00 
201602260113-1,13.70 
201602260113-2,4.50 
201602260131 ,1.66 
201602260148-1,1.68 
201602260148-2,4.60 
201602260148-3,7.68 
201602260147 ,2.16 
201602260025-1,0.36
201602260025-2,0.45
201602240066 ,25.26 
201602240053 ,8.96 
201602240054 ,21.90 
201602240052 ,23.76 
201602240048 ,15.68 
201602240047 ,20.02 
201602240044 ,26.07 
201602240041 ,6.66 
201602230021 ,3.56
201602260021 ,1.4
201602250012-1,832
201602250012-2,"1,408"
201602220012 ,27.23 
201602240051 ,17.33 
201602240042 ,21.95 
201602240063 ,27.06 
201602240055 ,25.89 
201602240072 ,27.56 
201602240075 ,20.13 
201602240049 ,19.31 
201602240050 ,13.057
201602240039 ,7.20 
201602240046 ,23.10 
201602240040 ,21.95 
201602230017 ,6.15 
201602230034 ,21.50 
201602230035 ,2.25 
201602260084-1,9.40 
201602260084-2,13.27 
201602260084-3,6.33 
201602260084-4,7.11 
201602240027-1,5.38 
201602240027-2,"5,76"
201602260132 ,2.08 
201602260133 ,0.96 
201602260135 ,1.89 
201602220003-1,7.01 
201602220003-2,8.19 
201602250049 ,23.81 
201602230037 ,20.15 
201602260004 ,1.57 
201602220011 ,52.92
201602220013 ,69.3
201602220020 ,32.34
201602230009 ,69.3
201602230010-1,44.1
201602230010-2,12.936
201602230010-3,12.936
201602230012-1,47.25
201602230012-2,47.25
201602230013-1,8.82
201602230013-2,10.878
201602230014-1,21.756
201602230014-2,21.756
201602230015 ,47.25
201602230016 ,55.86
201602230023 ,52.92
201602230027-1,64.68
201602230027-2,64.68
201602230032 ,54.26
201602230038 ,28.35
201602230039 ,47.25
201602230040-1,23.31
201602230040-2,12.936
201602230041 ,23.31
201602230042 ,26.46
201602230043 ,32.34
201602230051 ,6.468
201602230055-1,108.78
201602230055-2,108.78
201602240002-1,21.756
201602240002-2,21.756
201602240002-3,21.756
201602240004 ,8.82
201602240008-1,23.31
201602240008-2,17.64
201602240011 ,23.31
201602240015 ,50.58
201602240016 ,26.46
201602240019 ,21.756
201602240022 ,100.8
201602240025-1,17.64
201602240025-2,17.64
201602240031 ,32.34
201602240057-1,10.878
201602240057-2,12.936
201602240057-3,10.878
201602240059-1,10.878
201602240059-2,32.34
