구분,사업장번호,신청 사업자명,사업장명,기업유형(사업장),품목,선정상태,지역,사업장주소,설치업체,업체설치여부,설치비용,건물용도,계측기설치장소,계측설비형태,계측설비용량(W),계측설비대수,계측용량(kW),계량기시리얼넘버,모뎀시리얼넘버,타입
129,201602260062 ,에스알테크노팩(주),에스알테크노팩(주),중소,LED,선정,충남,충청남도 천안시 서북구 직산읍 봉주로 293 ,누리텔레콤,모뎀,20,공장,제1공장,LED,21W,288,6.048 ,00-250071495,01224273013,"G-type(단상2선식, 단독)"
,201602260100-2,롯데쇼핑(주),관악점,대기업,LED,선정,서울,"서울특별시 관악구 봉천로 209 (봉천동, 롯데백화점) ",누리텔레콤,-,-,일반건물,5층 EPS실,LED,7W,204,1.428 ,00-250071504,01224272982,"G-type(단상2선식, 단독)"
143,201602260100-1,롯데쇼핑(주),관악점,대기업,LED,선정,서울,"서울특별시 관악구 봉천로 209 (봉천동, 롯데백화점) ",누리텔레콤,계량기+모뎀,30,일반건물,5층 EPS실,LED,7W,40,0.280 ,00-250071507,01224272937,"G-type(단상2선식, 단독)"
,201602260120-2,롯데쇼핑(주),본점,대기업,LED,선정,서울,"서울특별시 중구 남대문로 81 (소공동, 롯데쇼핑센터빌딩) ",누리텔레콤,-,-,일반건물,,LED,7W,125,0.875 ,00-250071509,01224273073,"G-type(단상2선식, 단독)"
220,201602260219 ,롯데하이마트(주),롯데하이마트(주) 단구점,대기업,LED,선정,강원,강원도 원주시 서원대로 455 (단구동) 롯데하이마트(주) 단구점,누리텔레콤,계량기+모뎀,30,일반건물,3층 매장,LED,32W,110,3.520 ,00-250071510,01224230568,"G-type(단상2선식, 단독)"
2,201602220002 ,주식회사 티엠씨(북면지점),주식회사 티엠씨(북면지점),중견,LED,선정,충남,충청남도 천안시 동남구 북면 명덕1길 5 ,누리텔레콤,계량기+모뎀,30,공장,지하기계실,LED,18W,62,1.12 ,00-250071518,01220800574,"G-type(단상2선식, 단독)"
3,201602220005 ,파인테크닉스,"승일테크 유한회사 제1,2공장",대기업,LED,선정,충남,충청남도 아산시 둔포면 아산밸리남로 185 1층(외 아산테크노밸리 아이10-2블럭),누리텔레콤,계량기+모뎀,30,공장,"제 1,2공장",LED,125W,11,1.375,00-250071520,01224230529,"G-type(단상2선식, 단독)"
,201602260064-8,금호이앤지(주),반포자이아파트,공동주택,LED,선정,서울,"서울특별시 서초구 신반포로 270 (반포동, 반포자이아파트) ",누리텔레콤,-,-,공동주택,지하주차장,LED,14.6W,30,0.438,00-250071521,01224230522,"G-type(단상2선식, 단독)"
5,201602220008 ,주식회사 티엠씨,주식회사 티엠씨 입장공장,중견,LED,선정,충남,충청남도 천안시 서북구 입장면 연곡길 443 ,누리텔레콤,계량기+모뎀,30,공장,공장2층,LED,13.3W,308,4.096,00-250071525,01224230467,"G-type(단상2선식, 단독)"
,201602260064-7,금호이앤지(주),반포자이아파트,공동주택,LED,선정,서울,"서울특별시 서초구 신반포로 270 (반포동, 반포자이아파트) ",누리텔레콤,-,-,공동주택,지하주차장,LED,14.6W,66,0.963,00-250071527,01224272973,"G-type(단상2선식, 단독)"
,201602260064-4,금호이앤지(주),반포자이아파트,공동주택,LED,선정,서울,"서울특별시 서초구 신반포로 270 (반포동, 반포자이아파트) ",누리텔레콤,-,-,공동주택,지하주차장,LED,14.6W,88,1.284,00-250071531,01224273054,"G-type(단상2선식, 단독)"
,201602260064-3,금호이앤지(주),반포자이아파트,공동주택,LED,선정,서울,"서울특별시 서초구 신반포로 270 (반포동, 반포자이아파트) ",누리텔레콤,자체설치,0,공동주택,지하주차장,LED,14.6W,87,1.27,00-250071540,01224272998,"G-type(단상2선식, 단독)"
,201602260298-2,주식회사 에이엘이디,한미사이언스주식회사,대기업,LED,선정,서울,"서울특별시 송파구 위례성대로 14 (방이동, 한미빌딩) ",누리텔레콤,계량기+모뎀,30,공장,지하 4층 주차장,LED,,,,00-250071547,01224230573,"G-type(단상2선식, 단독)"
13,201602220022 ,파인테크닉스,승일테크 유한회사 3공장,대기업,LED,선정,충남,충청남도 아산시 둔포면 아산밸리남로 160 제1동호,누리텔레콤,계량기+모뎀,30,공장,제3공장,LED,100W,9,0.900 ,00-250071548,01224230577,"G-type(단상2선식, 단독)"
279,201602260315 ,이지스엔터프라이즈,금오ADS(주),중소,LED,선정,충남,충청남도 천안시 서북구 직산읍 마정1길 57 금오ADS,누리텔레콤,계량기+모뎀,30,공장,조립장,LED,"100W, 15W","8, 4",0.860 ,00-250071549,01224230464,"G-type(단상2선식, 단독)"
35,201602240029-1,케이씨글라스(주),케이씨글라스(주),중소,LED,선정,충남,충청남도 천안시 서북구 입장면 성진로 1105 ,누리텔레콤,계량기+모뎀,30,공장,지하기계실,LED,18W,47,0.846 ,00-250071550,01224230527,"G-type(단상2선식, 단독)"
,201602260064-6,금호이앤지(주),반포자이아파트,공동주택,LED,선정,서울,"서울특별시 서초구 신반포로 270 (반포동, 반포자이아파트) ",누리텔레콤,-,-,공동주택,지하주차장,LED,14.6W,100,1.46,00-250071557,01224273044,"G-type(단상2선식, 단독)"
,201602260064-9,금호이앤지(주),반포자이아파트,공동주택,LED,선정,서울,"서울특별시 서초구 신반포로 270 (반포동, 반포자이아파트) ",누리텔레콤,-,-,공동주택,지하주차장,LED,14.6W,84,1.226,00-250071558,01224273053,"G-type(단상2선식, 단독)"
59,201602250008 ,남가좌삼성아파트입주자대표회의,남가좌삼성아파트입주자대표회의,공동주택,LED,선정,서울,"서울특별시 서대문구 증가로 191 (남가좌동, 삼성아파트) ",누리텔레콤,자체설치,0,공동주택,20동 주차장,LED,17.6W,78,1.372,00-250071559,01224272940,"G-type(단상2선식, 단독)"
236,201602260239 ,롯데하이마트(주),롯데하이마트(주) 주안점,대기업,LED,선정,인천,인천광역시 남구 경원대로 757 (주안동) 롯데하이마트(주) 주안점,누리텔레콤,계량기+모뎀,30,일반건물,주차장,LED,30W,64,1.920 ,00-250102620,01224230487,"G-type(단상2선식, 단독)"
165,201602260146-01,삼정건물(주),삼정건물(주),중소,LED,선정,서울,서울특별시 중구 세종대로 74 (태평로2가) ,누리텔레콤,모뎀,20,일반건물,8층 분전반,LED,28W,40,1.120 ,00-250102644,01224230507,"G-type(단상2선식, 단독)"
151,201602260114 ,(주)한성플랜지,(주)한성플랜지,대기업,LED,선정,인천,인천광역시 남동구 앵고개로 659 (고잔동) ,누리텔레콤,계량기+모뎀,30,공장,1층 공장,LED,120W,32,3.840 ,00-250102648,01224230491,"G-type(단상2선식, 단독)"
,201602260146-02,삼정건물(주),삼정건물(주),중소,LED,선정,서울,서울특별시 중구 세종대로 74 (태평로2가) ,누리텔레콤,-,-,일반건물,19층 분전반,LED,28W,40,1.120 ,00-250102649,01224230517,"G-type(단상2선식, 단독)"
80,201602250060 ,(주)충북소주,(주)충북소주,대기업,LED,선정,충북,충청북도 청주시 청원구 내수읍 우산길 57 ,누리텔레콤,계량기+모뎀,30,공장,제품장,LED,75W,10,0.750 ,00-250102710,01224230461,"G-type(단상2선식, 단독)"
102,201602260028 ,더좋은생활(주),주식회사상신기업,중소,LED,선정,인천,인천광역시 동구 방축로167번길 18 (송림동) ,누리텔레콤,계량기+모뎀,30,공장,제1공장,LED,50W,6,0.300 ,00-250102776,01224230479,"G-type(단상2선식, 단독)"
,201602260290-2,이지스엔터프라이즈,장안현대홈타운,공동주택,LED,선정,서울,"서울특별시 동대문구 장안벚꽃로 107 (장안동, 장안현대홈타운) ",누리텔레콤,-,-,공동주택,지하 2층 주차장,LED,18W,145,2.610 ,00-250130306,01224230500,"G-type(단상2선식, 단독)"
140,201602260090 ,주식회사뷰라이팅인터내셔널,영복마트,해당없음,LED,선정,강원,강원도 원주시 현충로314번길 29 (태장동) ,누리텔레콤,계량기+모뎀,30,일반건물,1층 매장 일부,LED,40W,28,1.120 ,00-250130307,01224230525,"G-type(단상2선식, 단독)"
17,201602230003 ,(주)세계일보,(주)세계일보,중소,LED,선정,서울,"서울특별시 금천구 서부샛길 534 (가산동, 세계일보) ",누리텔레콤,계량기+모뎀,30,일반건물,5층 공장,LED,"18W, 20W","84, 1",1.532,00-250130308,01224230501,"G-type(단상2선식, 단독)"
145,201602260105 ,롯데쇼핑(주),미아점,대기업,LED,선정,서울,서울특별시 강북구 도봉로 62 (미아동) ,누리텔레콤,계량기+모뎀,30,일반건물,B2층 EPS실,LED,7W,202,1.414 ,00-250130309,01224230506,"G-type(단상2선식, 단독)"
221,201602260221 ,롯데하이마트(주),롯데하이마트(주) 단계점,대기업,LED,선정,강원,강원도 원주시 북원로 2374 (학성동) 롯데하이마트(주) 단계점,누리텔레콤,계량기+모뎀,30,일반건물,2층 매장,형광등,32W,60,1.920 ,00-250130310,01224230541,"G-type(단상2선식, 단독)"
60,201602250009-1,(주)이지빌,하나금융투자빌딩,해당없음,LED,선정,서울,"서울특별시 영등포구 의사당대로 82 (여의도동, 하나대투증권빌딩) 하나금융투자빌딩 1층",누리텔레콤,계량기+모뎀,30,일반건물,지하 2층 EPS실,LED,12.4W,102,1.265 ,00-250130312,01224230509,"G-type(단상2선식, 단독)"
,201602250009-2,(주)이지빌,하나금융투자빌딩,해당없음,LED,선정,서울,"서울특별시 영등포구 의사당대로 82 (여의도동, 하나대투증권빌딩) 하나금융투자빌딩 1층",누리텔레콤,-,-,일반건물,지하 2층 EPS실,LED,12.4W,70,0.868 ,00-250130313,01224230472,"G-type(단상2선식, 단독)"
226,201602260227 ,롯데하이마트(주),롯데하이마트(주) 춘천점,대기업,LED,선정,강원,강원도 춘천시 후석로 6 (석사동) 롯데하이마트(주) 춘천점,누리텔레콤,계량기+모뎀,30,일반건물,5층 매장,형광등,32W,84,2.688 ,00-250130314,01224230534,"G-type(단상2선식, 단독)"
,201602260120-3,롯데쇼핑(주),본점,대기업,LED,선정,서울,"서울특별시 중구 남대문로 81 (소공동, 롯데쇼핑센터빌딩) ",누리텔레콤,-,-,일반건물,,LED,7W,176,1.232 ,00-250130315,01224230535,"G-type(단상2선식, 단독)"
222,201602260222 ,롯데하이마트(주),롯데하이마트(주) 교동점,대기업,LED,선정,강원,강원도 강릉시 하슬라로 6 (교동) 롯데하이마트(주) 교동점,누리텔레콤,계량기+모뎀,30,일반건물,2층 매장,형광등,32W,70,2.240 ,00-250130316,01220800748,"G-type(단상2선식, 단독)"
224,201602260225 ,롯데하이마트(주),롯데하이마트(주) 동해점,대기업,LED,선정,강원,강원도 동해시 중앙로 222 (천곡동) 롯데하이마트(주) 동해점,누리텔레콤,계량기+모뎀,30,일반건물,2층 매장,형광등,32W,60,1.920 ,00-250130317,01224230544,"G-type(단상2선식, 단독)"
154,201602260120-1,롯데쇼핑(주),본점,대기업,LED,선정,서울,"서울특별시 중구 남대문로 81 (소공동, 롯데쇼핑센터빌딩) ",누리텔레콤,계량기+모뎀,30,일반건물,,LED,7W,202,1.414 ,00-250130318,01224230551,"G-type(단상2선식, 단독)"
225,201602260226 ,롯데하이마트(주),롯데하이마트(주) 속초점,대기업,LED,선정,강원,강원도 속초시 동해대로 4133 (조양동) 롯데하이마트(주) 속초점,누리텔레콤,계량기+모뎀,30,일반건물,2층 매장,형광등,"32W, 13W","40, 22",1.566 ,00-250130320,01224230539,"G-type(단상2선식, 단독)"
